"id","pop","stationName","latitude","longitude","departement","marque","Gazole","E10","SP98"
"54300001","R","6 rue tuilier - Moncel-lès-Lunéville",48.5787909256,48.5787909256,"54","CORA","1.931","1.866","1.925"
"5120003","R","RN 94 Lieu-dit Pont la Lame - Saint-Martin-de-Queyrières",44.853,44.853,"05","Leclerc","1.93",NA,NA
"91200001","R","180 ROUTE NATIONALE 7 - ATHIS-MONS",48.712,48.712,"91","Carrefour","1.976","1.94","2.021"
"83160003","R","AV.DE L'UNIVERSITE - La Valette-du-Var",43.137588197207,43.137588197207,"83","Total Access","1.908","1.863","1.949"
"14520003","R","BOULEVARD DE LA FLECHE - Thury-Harcourt",48.981,48.981,"14","N.C.","1.929",NA,"2.039"
"27380002","R","rue de Général de Gaulle - FLEURY-SUR-ANDELLE",49.361,49.361,"27","Carrefour Market","1.929",NA,"1.959"
"77100009","R","Rue Georges Claude - Meaux",48.95848,48.95848,"77","Leclerc","1.948","1.901","1.98"
"51190001","R","RD9 CHEMIN DU PARADIS - AVIZE",48.9775240381,48.9775240381,"51","Intermarche Contact","1.947","1.896","1.952"
"59320001","R","RN 352 - HAUBOURDIN",50.626,50.626,"59","Auchan","1.919","1.909","1.979"
"34250003","R","PONT DES 4 CANAUX - RD 986 - Palavas-les-Flots",43.529,43.529,"34","Total Access","1.925","1.865","1.952"
"85560002","R","RUE GEORGES CLEMENCEAU - LONGEVILLE-SUR-MER",46.425,46.425,"85","Casino","1.969","1.909","2.009"
"59780003","R","RD 93 GRANDE RUE - Camphin-en-Pévèle",50.59477455,50.59477455,"59","Systeme U","1.969","1.919","1.999"
"6110002","R","Boulevard Carnot - Le Cannet",43.57174237,43.57174237,"06","Avia","1.986","1.928","2.016"
"60440001","R","CHEMIN DE LA CROIX VERTE - NANTEUIL-LE-HAUDOUIN",49.136,49.136,"60","Intermarche","1.919","1.869","1.939"
"78800006","R","136 RUE HENRI BARBUSSE - HOUILLES",48.932,48.932,"78","Total Access",NA,NA,NA
"59215001","R","RUE EMILE ZOLA - Abscon",50.336,50.336,"59","Carrefour Contact",NA,NA,NA
"95350002","R","20 avenue robert schumann - SAINT-BRICE-SOUS-FORêT",49.00763,49.00763,"95","Carrefour","1.951","1.891","1.986"
"33480002","R","55 AVENUE GAMBETTA - CASTELNAU-DE-MéDOC",45.033,45.033,"33","Total","2.093",NA,NA
"40140005","R","9 AVENUE DE CRAMAT - SOUSTONS",43.74653865,43.74653865,"40","N.C.","1.909","1.875",NA
"81100009","R","185 av de roquecourbe - CASTRES",43.617,43.617,"81","N.C.",NA,NA,NA
"3150006","R","11 AV DE CHAZEUIL - VARENNES-SUR-ALLIER",46.328,46.328,"03","Avia","2.089",NA,"2.099"
